word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
russia,0.82354903,0.17645097,9641,98999
trade,0.82432115,0.17567885,4230,38087
kill,0.8255515,0.17444849,7071,65302
fund,0.82678545,0.17321455,2807,25130
primaries,0.82756764,0.17243236,4782,14769
minimum,0.827679,0.17232102,23143,44398
loans,0.8280534,0.17194659,2529,26538
reform,0.82848036,0.17151964,4503,23554
jury,0.82857656,0.17142344,1460,16118
congressional,0.8291231,0.17087692,3090,13853
damage,0.82926404,0.17073596,3746,33600
florida,0.82930887,0.17069113,7401,47677
peace,0.8293955,0.17060453,2268,30072
policy,0.8299897,0.17001033,14740,106789
violent,0.8300103,0.1699897,4129,52292
impeached,0.830225,0.16977501,3071,13231
religion,0.8302798,0.16972017,5842,66308
reagan,0.830468,0.169532,3568,23647
governments,0.8304827,0.16951728,2704,33285
majority,0.83059204,0.16940796,16949,124470
vp,0.83077544,0.16922456,2646,21109
iraq,0.8308389,0.16916108,3013,18543
culture,0.83089995,0.16910005,4362,75796
texas,0.8309289,0.16907108,9925,62831
violate,0.8312212,0.16877878,691,8382
legally,0.8318826,0.1681174,3008,32099
congress,0.83188474,0.16811526,16559,89332
