word,"shift score time: 1-9, 2009-2018","shift score time: 10-14, 2018-2023",shift_B-A
authority,0.201822280883789,0.18131042,-0.020511860883789007
homes,0.2614198923110962,0.240888,-0.0205318923110962
income,0.1224377751350402,0.10129011,-0.021147665135040197
hypocritical,0.2804937362670898,0.25926983,-0.02122390626708981
reality,0.1657257080078125,0.14410877,-0.021616938007812503
candidate,0.1348145008087158,0.113153696,-0.021660804808715795
absolutely,0.2256057858467102,0.2037766,-0.021829185846710203
violate,0.2430768609046936,0.22120392,-0.021872940904693605
world,0.1266450881958007,0.10469258,-0.021952508195800705
liberals,0.2433933615684509,0.22129512,-0.022098241568450888
history,0.1452423930168151,0.12301242,-0.022229973016815105
dictators,0.2599846720695495,0.23774672,-0.02223795206954951
americans,0.1796387434005737,0.15734005,-0.022298693400573694
government,0.1572222709655761,0.13485861,-0.0223636609655761
death,0.1339285373687744,0.11147201,-0.02245652736877439
campaigned,0.2675091028213501,0.24500972,-0.02249938282135011
fed,0.2388416528701782,0.21618408,-0.022657572870178194
shootings,0.2027203440666198,0.18004978,-0.022670564066619797
business,0.1500946879386901,0.12742162,-0.02267306793869009
vile,0.2836610078811645,0.2608909,-0.022770107881164514
individual,0.2171739339828491,0.1942743,-0.022899633982849082
sentiment,0.2483912706375122,0.22540075,-0.022990520637512196
reelection,0.1934118270874023,0.17037666,-0.023035167087402275
executive,0.1718236207962036,0.14871317,-0.023110450796203608
illegal,0.2073864936828613,0.18425995,-0.023126543682861295
opinions,0.1521246433258056,0.12895942,-0.023165223325805617
housing,0.1851489543914795,0.16197765,-0.02317130439147949
lies,0.1881650686264038,0.1647023,-0.023462768626403813
destroy,0.1977308988571167,0.17422909,-0.023501808857116696
party,0.1450080275535583,0.12120795,-0.0238000775535583
riot,0.2768734097480774,0.2530446,-0.023828809748077384
taxes,0.112278401851654,0.08835673,-0.023921671851654003
assaulted,0.2919960021972656,0.2680583,-0.023937702197265598
values,0.1920861601829528,0.16811264,-0.02397352018295279
fund,0.2123386859893798,0.18833935,-0.02399933598937981
countries,0.1509209275245666,0.12684894,-0.0240719875245666
protest,0.2336911559104919,0.20938003,-0.024311125910491893
cop,0.2565535306930542,0.2321353,-0.02441823069305421
retirement,0.2027463912963867,0.17830801,-0.024438381296386702
ussr,0.3039770126342773,0.2794801,-0.02449691263427728
states,0.1729333400726318,0.14836168,-0.024571660072631812
conservative,0.2451613545417785,0.22033286,-0.024828494541778517
budget,0.1754277348518371,0.1505099,-0.0249178348518371
ben,0.3088849782943725,0.2838052,-0.025079778294372523
taxpayer,0.246278166770935,0.22118926,-0.025088906770935004
censorship,0.3221401572227478,0.29704118,-0.025098977222747787
protect,0.1865609884262085,0.16135609,-0.02520489842620849
policies,0.1718404293060302,0.1462375,-0.025602929306030198
agenda,0.2184628248214721,0.19276303,-0.02569979482147211
blamed,0.2844243049621582,0.2586274,-0.025796904962158196
oppose,0.2970118522644043,0.2710991,-0.025912752264404315
wage,0.1596871614456176,0.13371915,-0.025968011445617584
people,0.1855069994926452,0.15933496,-0.02617203949264521
voters,0.1666631698608398,0.14029723,-0.026365939860839793
liberal,0.2297508120536804,0.20334375,-0.026407062053680402
senile,0.350619912147522,0.32398862,-0.026631292147521968
fight,0.1760064363479614,0.14927328,-0.02673315634796139
wealth,0.1532613635063171,0.1265018,-0.026759563506317113
romney,0.2446404695510864,0.21761543,-0.0270250395510864
mandate,0.2849148511886596,0.25762033,-0.027294521188659604
rich,0.1585115790367126,0.13117254,-0.027339039036712587
prices,0.124734878540039,0.0972507,-0.027484178540038998
elite,0.2822166681289673,0.25412166,-0.028095008128967258
equality,0.2267031073570251,0.19849777,-0.0282053373570251
inflation,0.1732229590415954,0.14496422,-0.0282587390415954
workers,0.1433078646659851,0.11500335,-0.028304514665985103
intelligence,0.161098837852478,0.13270599,-0.028392847852478004
totalitarian,0.2723987698554992,0.24385619,-0.02854257985549921
populist,0.3332398533821106,0.3044983,-0.028741553382110596
supreme,0.2132887244224548,0.18432188,-0.028966844422454813
ballot,0.1787549257278442,0.14964956,-0.029105365727844223
terrorism,0.2440203428268432,0.21486753,-0.029152812826843205
hitler,0.2206075191497802,0.19140148,-0.029206039149780177
cuban,0.3818176984786987,0.35250866,-0.0293090384786987
conservatism,0.3041249513626098,0.27478647,-0.029338481362609803
russia,0.2051138877868652,0.17564166,-0.0294722277868652
